mid,u
RBX_VPRO_681190,http://radiobox2.omroep.nl/videofragment/file/11207/fragment.mp4 2018-02-13 10:01:56.648+00
RBX_VPRO_807781,http://radiobox2.omroep.nl/videofragment/file/12842/fragment.mp4 2018-02-13 12:20:41.416+00
RBX_VPRO_758857,http://radiobox2.omroep.nl/videofragment/file/12173/fragment.mp4 2018-02-13 11:55:51.677+00
RBX_VPRO_1107839,http://radiobox2.omroep.nl/videofragment/file/14015/fragment.mp4 2015-06-19 07:49:33.651+00
RBX_VPRO_868430,http://radiobox2.omroep.nl/videofragment/file/13667/fragment.mp4 2015-05-22 09:49:26.137+00
RBX_VPRO_854347,http://radiobox2.omroep.nl/videofragment/file/13468/fragment.mp4 2015-05-06 13:54:28.648+00
RBX_VPRO_855899,http://radiobox2.omroep.nl/videofragment/file/13490/fragment.mp4 2015-05-08 08:59:49.036+00
RBX_VPRO_766201,http://radiobox2.omroep.nl/videofragment/file/12246/fragment.mp4 2018-02-13 11:55:41.766+00
RBX_VPRO_854348,http://radiobox2.omroep.nl/videofragment/file/13469/fragment.mp4 2015-05-06 13:54:34.931+00
RBX_VPRO_1163471,http://radiobox2.omroep.nl/videofragment/file/14064/fragment.mp4 2015-06-24 08:40:03.293+00
RBX_VPRO_786153,http://radiobox2.omroep.nl/videofragment/file/12531/fragment.mp4 2018-02-13 11:54:15.947+00
RBX_VPRO_782459,http://radiobox2.omroep.nl/videofragment/file/12487/fragment.mp4 2018-02-13 11:54:54.071+00
RBX_VPRO_2448471,http://radiobox2.omroep.nl/videofragment/file/15834/fragment.mp4 2015-11-03 11:05:24.13+00
RBX_VPRO_807779,http://radiobox2.omroep.nl/videofragment/file/12841/fragment.mp4 2018-02-13 12:20:41.416+00
RBX_VPRO_805607,http://radiobox2.omroep.nl/videofragment/file/12814/fragment.mp4 2018-02-13 11:57:30.889+00
RBX_VPRO_748249,http://radiobox2.omroep.nl/videofragment/file/11908/fragment.mp4 2018-02-13 11:56:51.752+00
RBX_VPRO_807883,http://radiobox2.omroep.nl/videofragment/file/12843/fragment.mp4 2018-02-13 11:59:00.619+00
RBX_VPRO_855901,http://radiobox2.omroep.nl/videofragment/file/13491/fragment.mp4 2015-05-08 08:59:56.099+00
RBX_VPRO_788041,http://radiobox2.omroep.nl/videofragment/file/12564/fragment.mp4 2018-02-13 11:54:13.154+00
RBX_VPRO_782458,http://radiobox2.omroep.nl/videofragment/file/12486/fragment.mp4 2018-02-13 11:54:54.071+00
RBX_VPRO_688309,http://radiobox2.omroep.nl/videofragment/file/11326/fragment.mp4 2018-02-13 11:53:21.757+00
RBX_VPRO_854351,http://radiobox2.omroep.nl/videofragment/file/13472/fragment.mp4 2015-05-06 13:55:03.518+00
RBX_VPRO_676954,http://radiobox2.omroep.nl/broadcaststream/file/448497.mp3 2015-10-13 00:34:06.15+00
RBX_VPRO_854350,http://radiobox2.omroep.nl/videofragment/file/13471/fragment.mp4 2015-05-06 13:54:46.61+00
RBX_VPRO_681190,http://radiobox2.omroep.nl/videofragment/file/11207/fragment.mp4 2018-02-13 10:01:56.648+00
RBX_VPRO_807781,http://radiobox2.omroep.nl/videofragment/file/12842/fragment.mp4 2018-02-13 12:20:41.416+00
RBX_VPRO_758857,http://radiobox2.omroep.nl/videofragment/file/12173/fragment.mp4 2018-02-13 11:55:51.677+00
RBX_VPRO_1107839,http://radiobox2.omroep.nl/videofragment/file/14015/fragment.mp4 2015-06-19 07:49:33.651+00
RBX_VPRO_868430,http://radiobox2.omroep.nl/videofragment/file/13667/fragment.mp4 2015-05-22 09:49:26.137+00
RBX_VPRO_854347,http://radiobox2.omroep.nl/videofragment/file/13468/fragment.mp4 2015-05-06 13:54:28.648+00
RBX_VPRO_855899,http://radiobox2.omroep.nl/videofragment/file/13490/fragment.mp4 2015-05-08 08:59:49.036+00
RBX_VPRO_766201,http://radiobox2.omroep.nl/videofragment/file/12246/fragment.mp4 2018-02-13 11:55:41.766+00
RBX_VPRO_854348,http://radiobox2.omroep.nl/videofragment/file/13469/fragment.mp4 2015-05-06 13:54:34.931+00
POMS_VPRO_3745440,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/04/23/5415-programma-item-0.mp4 2016-04-23 06:45:37.938+00
POMS_VPRO_855917,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/09/1509-programma-item-0.mp4 2015-05-09 11:13:53.479+00
WO_VPRO_1637320,npo://internetvod.omroep.nl/WO_VPRO_1637320 2017-11-02 02:11:26.034+00
POMS_VPRO_1382553,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/18/2147-programma-item-0.mp4 2015-07-18 08:29:51.384+00
POMS_VPRO_828454,http://download.omroep.nl/portal/radiomanager/rm3-radio1/video/1/Untitled.mp4 2015-04-08 11:13:56.958+00
POMS_VPRO_12720095,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2018/02/03/19978-programma-item-0.mp4 2018-02-03 09:08:51.717+00
POMS_VPRO_2286850,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/10/16/3010-programma-item-0.mp4 2015-10-16 08:50:00.647+00
POMS_VPRO_1230426,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/02/2043-programma-item-0.mp4 2015-07-02 08:14:47.335+00
POMS_VPRO_3462340,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/03/12/4846-programma-item-0.mp4 2016-03-12 08:15:58.831+00
POMS_VPRO_1209990,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/30/2020-programma-item-0.mp4 2015-06-30 08:18:52.697+00
POMS_VPRO_2819138,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/12/17/3852-programma-item-0.mp4 2015-12-17 07:56:06.335+00
POMS_VPRO_908216,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/04/1809-programma-item-0.mp4 2015-06-04 08:41:13.629+00
POMS_VPRO_2777044,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/12/12/3792-programma-item-0.mp4 2015-12-12 08:28:37.711+00
POMS_VPRO_958387,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/06/1836-programma-item-0.mp4 2015-06-06 09:30:55.576+00
POMS_VPRO_1163496,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/25/1995-programma-item-0.mp4 2015-06-25 08:44:49.815+00
POMS_VPRO_857090,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/12/1540-programma-item-0.mp4 2015-05-12 08:55:14.994+00
POMS_VPRO_857094,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/13/1551-programma-item-0.mp4 2015-05-13 10:21:39.643+00
RBX_VPRO_13000939,https://radiobox2.omroep.nl/audiofragment/file/311243/fragment.mp3 2018-03-31 08:19:31.79+00
POMS_VPRO_1009559,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/11/1875-programma-item-0.mp4 2015-06-11 08:59:09.566+00
POMS_VPRO_1163499,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/26/2005-programma-item-0.mp4 2015-06-26 12:22:06.012+00
POMS_VPRO_1318100,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/11/2103-programma-item-0.mp4 2015-07-11 09:55:36.808+00
POMS_VPRO_958388,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/06/1837-programma-item-0.mp4 2015-06-06 09:38:54.926+00
POMS_VPRO_1318091,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/09/2091-programma-item-0.mp4 2015-07-09 08:23:51.568+00
RBX_VPRO_2064620,http://radiobox2.omroep.nl/audiofragment/file/199839/fragment.mp3 2015-09-22 08:29:04.064+00
POMS_VPRO_1141509,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/24/1989-programma-item-0.mp4 2015-06-24 08:54:39.558+00
POMS_VPRO_1306723,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/07/2075-programma-item-0.mp4 2015-07-07 08:16:50.955+00
POMS_VPRO_3355879,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/02/23/4593-programma-item-0.mp4 2016-02-23 09:05:35.373+00
POMS_VPRO_1099000,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/20/1963-programma-item-0.mp4 2015-06-20 09:52:23.533+00
POMS_VPRO_870917,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/27/1687-programma-item-0.mp4 2015-05-27 05:49:44.012+00
POMS_VPRO_860985,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/16/1577-programma-item-0.mp4 2015-05-16 07:55:23.033+00
POMS_VPRO_1318092,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/09/2092-programma-item-0.mp4 2015-07-09 08:28:55.535+00
WO_VPRO_12980509,npo://internetvod.omroep.nl/WO_VPRO_12980509 2019-01-07 10:30:04.396+00
POMS_VPRO_3135411,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/01/27/4353-programma-item-0.mp4 2016-01-27 07:49:37.585+00
POMS_VPRO_864288,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/19/1599-programma-item-0.mp4 2015-05-19 08:19:55.367+00
POMS_VPRO_1163495,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/25/1994-programma-item-0.mp4 2015-06-25 08:41:07.537+00
POMS_VPRO_11435820,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2017/10/26/17694-programma-item-0.mp4 2017-10-26 08:47:14.453+00
POMS_VPRO_1382541,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/16/2125-programma-item-0.mp4 2015-07-16 08:34:04.106+00
POMS_VPRO_864289,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/20/1617-programma-item-0.mp4 2015-05-20 08:29:44.603+00
POMS_VPRO_3462336,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/03/09/4790-programma-item-0.mp4 2016-03-09 09:11:40.585+00
POMS_VPRO_1009565,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/13/1896-programma-item-0.mp4 2015-06-13 09:43:10.943+00
POMS_VPRO_2699623,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/12/02/3654-programma-item-0.mp4 2015-12-02 10:12:12.672+00
WO_VPRO_12979251,npo://internetvod.omroep.nl/WO_VPRO_12979251 2019-01-07 10:30:04.259+00
POMS_VPRO_1096526,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/18/1939-programma-item-0.mp4 2015-06-18 08:41:46.774+00
POMS_VPRO_2864456,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/12/22/3907-programma-item-0.mp4 2015-12-22 07:53:11.907+00
POMS_VPRO_864291,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/21/1629-programma-item-0.mp4 2015-05-21 08:34:11.249+00
POMS_VPRO_1068015,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/17/1920-programma-item-0.mp4 2015-06-17 08:38:52.35+00
POMS_VPRO_3845384,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/05/07/5583-programma-item-0.mp4 2016-05-07 06:14:00.159+00
POMS_VPRO_3462339,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/03/11/4825-programma-item-0.mp4 2016-03-11 09:05:36.242+00
POMS_VPRO_3424246,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/03/03/4713-programma-item-0.mp4 2016-03-03 09:08:23.122+00
POMS_VPRO_1230430,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/03/2056-programma-item-0.mp4 2015-07-03 11:57:27.703+00
POMS_VPRO_870934,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/30/1720-programma-item-0.mp4 2015-05-30 06:41:37.802+00
WO_VPRO_11125790,npo://internetvod.omroep.nl/WO_VPRO_11125790 2019-01-07 10:29:25.859+00
POMS_VPRO_1730525,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/18/2383-programma-item-0.mp4 2015-08-18 08:44:19.102+00
POMS_VPRO_862910,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/16/1578-programma-item-0.mp4 2015-05-16 07:58:59.685+00
POMS_VPRO_3158328,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/01/28/4369-programma-item-0.mp4 2016-01-28 07:43:01.467+00
WO_VPRO_12546039,npo://internetvod.omroep.nl/WO_VPRO_12546039 2019-01-07 10:30:01.051+00
POMS_VPRO_12720092,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2018/01/31/19868-programma-item-0.mp4 2018-01-31 10:24:19.281+00
POMS_VPRO_1163500,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/26/2006-programma-item-0.mp4 2015-06-26 12:28:46.61+00
POMS_VPRO_1141505,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/23/1971-programma-item-0.mp4 2015-06-23 08:16:09.606+00
POMS_VPRO_1141507,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/23/1973-programma-item-1.mp4 2015-06-23 08:20:40.624+00
POMS_VPRO_1163493,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/24/1990-programma-item-0.mp4 2015-06-24 09:10:05.621+00
POMS_VPRO_1009551,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/10/1868-programma-item-0.mp4 2015-06-10 08:49:30.926+00
POMS_VPRO_1009567,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/13/1897-programma-item-0.mp4 2015-06-13 10:17:07.489+00
POMS_VPRO_1382537,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/14/2111-programma-item-0.mp4 2015-07-14 08:44:24.553+00
POMS_VPRO_3933550,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/05/18/5728-programma-item-0.mp4 2016-05-18 08:04:34.57+00
POMS_VPRO_3432158,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/03/04/4730-programma-item-0.mp4 2016-03-04 09:09:23.249+00
POMS_VPRO_3032479,npo://internetvod.omroep.nl/POMS_VPRO_3032479 2017-10-27 12:16:29.302+00
POMS_VPRO_1675056,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/14/2359-programma-item-0.mp4 2015-08-14 08:18:59.436+00
POMS_VPRO_1318107,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/14/2110-programma-item-0.mp4 2015-07-14 08:41:48.686+00
POMS_VPRO_2126981,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/09/30/2793-programma-item-0.mp4 2015-09-30 08:41:43.439+00
POMS_VPRO_2126989,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/10/03/2837-programma-item-0.mp4 2015-10-03 11:04:28.509+00
POMS_VPRO_1939107,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/09/11/2610-programma-item-0.mp4 2015-09-11 09:55:05.124+00
POMS_VPRO_3607394,npo://internetvod.omroep.nl/POMS_VPRO_3607394 2017-11-01 22:53:32.35+00
WO_VPRO_833779,npo://internetvod.omroep.nl/WO_VPRO_833779 2017-10-27 15:41:06.271+00
WO_VPRO_799903,npo://internetvod.omroep.nl/WO_VPRO_799903 2017-11-01 22:45:15.605+00
POMS_VPRO_1730533,npo://internetvod.omroep.nl/POMS_VPRO_1730533 2017-11-01 22:41:24.841+00
POMS_VPRO_860982,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/15/1566-programma-item-0.mp4 2015-05-15 04:04:27.592+00
POMS_VPRO_1730529,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/20/2411-programma-item-0.mp4 2015-08-20 08:38:50.037+00
POMS_VPRO_1009553,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/10/1869-programma-item-0.mp4 2015-06-10 09:00:49.402+00
POMS_VPRO_895166,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/30/1722-programma-item-1.mp4 2015-05-30 06:46:15.81+00
POMS_VPRO_2637936,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/11/25/3550-programma-item-0.mp4 2015-11-25 09:34:09.538+00
POMS_VPRO_1163492,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/24/1990-programma-item-0.mp4 2015-06-24 09:09:57.526+00
POMS_VPRO_2221984,npo://internetvod.omroep.nl/POMS_VPRO_2221984 2017-10-27 12:16:17.69+00
POMS_VPRO_1318093,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/09/2092-programma-item-0.mp4 2015-07-09 08:29:00.92+00
POMS_VPRO_1382552,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/18/2146-programma-item-0.mp4 2015-07-18 08:19:41.516+00
POMS_VPRO_1230432,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/03/2057-programma-item-0.mp4 2015-07-03 12:05:38.33+00
POMS_VPRO_870918,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/27/1688-programma-item-0.mp4 2015-05-27 05:54:36.673+00
POMS_VPRO_1141506,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/23/1973-programma-item-1.mp4 2015-06-23 08:20:13.602+00
POMS_VPRO_908204,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/03/1773-programma-item-0.mp4 2015-06-03 08:29:47.394+00
POMS_VPRO_3462337,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/03/10/4809-programma-item-0.mp4 2016-03-10 09:20:37.149+00
POMS_VPRO_1009566,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/13/1897-programma-item-0.mp4 2015-06-13 09:55:22.336+00
POMS_VPRO_857096,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/13/1552-programma-item-0.mp4 2015-05-13 10:26:55.577+00
POMS_VPRO_1860089,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/09/02/2524-programma-item-0.mp4 2015-09-02 06:56:34.937+00
POMS_VPRO_908215,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/04/1809-programma-item-0.mp4 2015-06-04 08:41:03.486+00
POMS_VPRO_870933,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/29/1710-programma-item-0.mp4 2015-05-29 04:42:25.936+00
POMS_VPRO_1098998,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/20/1962-programma-item-0.mp4 2015-06-20 09:48:48.392+00
POMS_VPRO_1810633,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/28/2481-programma-item-0.mp4 2015-08-28 08:42:19.378+00
POMS_VPRO_1318090,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/08/2084-programma-item-1.mp4 2015-07-08 09:30:37.749+00
WO_VPRO_854234,npo://internetvod.omroep.nl/WO_VPRO_854234 2017-10-25 10:37:53.922+00
POMS_VPRO_2637946,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/11/28/3606-programma-item-0.mp4 2015-11-28 10:40:26.6+00
POMS_VPRO_12720096,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2018/02/03/19980-programma-item-0.mp4 2018-02-03 09:17:17.54+00
POMS_VPRO_857091,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/12/1541-programma-item-0.mp4 2015-05-12 08:59:53.787+00
WO_VPRO_12999486,npo://internetvod.omroep.nl/WO_VPRO_12999486 2019-01-07 10:30:06.847+00
POMS_VPRO_1163497,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/25/1995-programma-item-0.mp4 2015-06-25 08:44:42.917+00
POMS_VPRO_1209991,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/30/2021-programma-item-0.mp4 2015-06-30 08:34:48.252+00
POMS_VPRO_908203,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/03/1772-programma-item-0.mp4 2015-06-03 08:26:00.924+00
POMS_VPRO_857095,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/13/1552-programma-item-0.mp4 2015-05-13 10:26:46.74+00
POMS_VPRO_2259591,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/10/14/2976-programma-item-0.mp4 2015-10-14 09:13:45.247+00
WO_VPRO_12984011,npo://internetvod.omroep.nl/WO_VPRO_12984011 2019-01-07 10:30:05.205+00
POMS_VPRO_1230434,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/04/2060-programma-item-0.mp4 2015-07-04 08:20:21.915+00
POMS_VPRO_908213,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/04/1808-programma-item-0.mp4 2015-06-04 08:38:08.662+00
POMS_VPRO_2384943,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/10/27/3128-programma-item-0.mp4 2015-10-27 09:42:05.662+00
POMS_VPRO_1163501,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/26/2006-programma-item-0.mp4 2015-06-26 12:33:48.187+00
POMS_VPRO_1382539,http://content1a.omroep.nl/urishieldv2/l27m48ffbd480ca211ef0055a79d1f000000.6ef5f016b4c972cf7a826c9be93e08be/portal/radiomanager/rm3-radio1/video/1/kunstwacht_1.mp4 2015-07-15 08:32:47.226+00
POMS_VPRO_1318098,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/11/2102-programma-item-0.mp4 2015-07-11 09:38:52.38+00
POMS_VPRO_1300053,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/07/2074-programma-item-0.mp4 2015-07-07 08:13:31.803+00
POMS_VPRO_1209992,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/30/2021-programma-item-0.mp4 2015-06-30 08:34:53.55+00
POMS_VPRO_1318088,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/08/2082-programma-item-0.mp4 2015-07-08 09:19:14.941+00
POMS_VPRO_1230431,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/03/2057-programma-item-0.mp4 2015-07-03 12:03:29.89+00
POMS_VPRO_862911,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/16/1578-programma-item-0.mp4 2015-05-16 07:59:10.453+00
POMS_VPRO_855918,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/09/1509-programma-item-0.mp4 2015-05-09 11:14:02.831+00
POMS_VPRO_1230428,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/02/2044-programma-item-0.mp4 2015-07-02 08:21:30.187+00
POMS_VPRO_3295977,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/02/17/4540-programma-item-0.mp4 2016-02-17 09:16:03.469+00
POMS_VPRO_989605,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/09/1854-programma-item-0.mp4 2015-06-09 08:34:49.752+00
POMS_VPRO_1666170,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/11/2323-programma-item-0.mp4 2015-08-11 08:16:30.768+00
POMS_VPRO_5927581,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/11/10/9426-programma-item-0.mp4 2016-11-10 09:19:01.482+00
POMS_VPRO_1675053,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/12/2335-programma-item-0.mp4 2015-08-12 08:21:13.185+00
POMS_VPRO_1730528,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/19/2397-programma-item-0.mp4 2015-08-19 09:53:34.54+00
POMS_VPRO_1318089,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/08/2084-programma-item-1.mp4 2015-07-08 09:30:28.797+00
POMS_VPRO_1622433,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/08/2306-programma-item-0.mp4 2015-08-08 08:50:12.557+00
POMS_VPRO_1730531,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/21/2424-programma-item-0.mp4 2015-08-21 08:40:27.56+00
POMS_VPRO_1096524,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/18/1938-programma-item-0.mp4 2015-06-18 08:35:56.307+00
POMS_VPRO_3432172,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/03/08/4769-programma-item-0.mp4 2016-03-08 09:10:04.533+00
POMS_VPRO_2699624,npo://internetvod.omroep.nl/POMS_VPRO_2699624 2017-11-01 22:55:14.288+00
POMS_VPRO_1490749,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/25/2195-programma-item-0.mp4 2015-07-25 08:01:24.572+00
POMS_VPRO_1796931,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/27/2466-programma-item-0.mp4 2015-08-27 08:19:57.534+00
POMS_VPRO_860980,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/15/1565-programma-item-0.mp4 2015-05-15 03:54:05.655+00
POMS_VPRO_857092,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/12/1541-programma-item-0.mp4 2015-05-12 09:00:02.343+00
POMS_VPRO_1675055,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/13/2346-programma-item-0.mp4 2015-08-13 08:29:23.226+00
POMS_VPRO_1009560,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/11/1876-programma-item-0.mp4 2015-06-11 09:07:10.891+00
POMS_VPRO_1810635,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/08/29/2498-programma-item-0.mp4 2015-08-29 07:53:40.454+00
POMS_VPRO_3258985,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/02/11/4494-programma-item-0.mp4 2016-02-11 09:16:50.926+00
POMS_VPRO_1009561,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/11/1876-programma-item-0.mp4 2015-06-11 09:07:17.217+00
POMS_VPRO_870921,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/28/1701-programma-item-0.mp4 2015-05-28 08:22:31.406+00
POMS_VPRO_3933554,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2016/05/20/5786-programma-item-0.mp4 2016-05-20 08:03:30.598+00
POMS_VPRO_1096525,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/18/1939-programma-item-0.mp4 2015-06-18 08:41:40.082+00
POMS_VPRO_1068017,npo://internetvod.omroep.nl/POMS_VPRO_1068017 2017-11-01 22:55:41.126+00
POMS_VPRO_1230436,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/04/2061-programma-item-0.mp4 2015-07-04 08:23:52.974+00
POMS_VPRO_852547,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/05/07/1495-programma-item-0.mp4 2015-05-07 11:33:29.561+00
WO_VPRO_818298,npo://internetvod.omroep.nl/WO_VPRO_818298 2017-11-02 02:20:54.709+00
WO_VPRO_807821,npo://internetvod.omroep.nl/WO_VPRO_807821 2017-11-02 04:23:30.269+00
POMS_VPRO_1460099,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/24/2188-programma-item-0.mp4 2015-07-24 11:44:54.185+00
POMS_VPRO_2412734,npo://internetvod.omroep.nl/POMS_VPRO_2412734 2017-11-01 18:23:18.666+00
POMS_VPRO_1098999,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/06/20/1963-programma-item-0.mp4 2015-06-20 09:51:50.971+00
POMS_VPRO_1460083,http://download.omroep.nl/portal/radiomanager/video_archive/radio1/2015/07/23/2176-programma-item-0.mp4 2015-07-23 08:08:51.511+00
